State and County,FIPS,Longitude,Latitude,Population(2010),Total Area mi²
IN Marshall County,18099,-86.269036,41.325003,"47,051",449.743
IN Martin County,18101,-86.801847,38.705322,"10,334",340.406
IN Miami County,18103,-86.044259,40.772881,"36,903",377.388
IN Monroe County,18105,-86.523325,39.160751,"137,974",411.321
IN Montgomery County,18107,-86.892715,40.040296,"38,124",505.445
IN Morgan County,18109,-86.447457,39.482646,"68,894",409.427
IN Newton County,18111,-87.402172,40.962399,"14,244",403.438
IN Noble County,18113,-85.41785,41.400794,"47,536",417.433
IN Ohio County,18115,-84.964299,38.940527,"6,128",87.434
IN Orange County,18117,-86.489257,38.547381,"19,840",408.192
IN Owen County,18119,-86.838845,39.317339,"21,575",387.825
IN Parke County,18121,-87.19695,39.77425,"17,339",449.979
IN Perry County,18123,-86.62654,38.081436,"19,338",386.290
IN Pike County,18125,-87.232532,38.397898,"12,845",341.094
IN Porter County,18127,-87.071308,41.509922,"164,343",521.781
IN Posey County,18129,-87.868653,38.027614,"25,910",419.325
IN Pulaski County,18131,-86.692538,41.045272,"13,402",434.534
IN Putnam County,18133,-86.853325,39.665545,"37,963",482.692
IN Randolph County,18135,-85.005004,40.164414,"26,171",453.314
IN Ripley County,18137,-85.260541,39.10023,"28,818",448.062
IN Rush County,18139,-85.466527,39.622312,"17,392",408.461
IN Saint Joseph County,18141,-86.288159,41.617699,"266,931",461.385
IN Scott County,18143,-85.751898,38.679431,"24,181",192.748
IN Shelby County,18145,-85.792174,39.524135,"44,436",412.756
IN Spencer County,18147,-87.010645,38.009789,"20,952",401.426
IN Starke County,18149,-86.64757,41.28322,"23,363",312.206
IN Steuben County,18151,-85.002467,41.643437,"34,185",322.466
IN Sullivan County,18153,-87.415843,39.089225,"21,475",454.116
IN Switzerland County,18155,-85.029679,38.825846,"10,613",223.439
IN Tippecanoe County,18157,-86.893943,40.38926,"172,780",503.243
IN Tipton County,18159,-86.056207,40.310229,"15,936",260.567
IN Union County,18161,-84.925152,39.623111,"7,516",165.177
IN Vanderburgh County,18163,-87.586166,38.02007,"179,703",236.330
IN Vermillion County,18165,-87.462071,39.854045,"16,212",259.930
IN Vigo County,18167,-87.390375,39.429143,"107,848",410.451
IN Wabash County,18169,-85.795175,40.843717,"32,888",420.975
IN Warren County,18171,-87.375847,40.352658,"8,508",366.405
IN Warrick County,18173,-87.272023,38.097764,"59,689",391.053
IN Washington County,18175,-86.104751,38.600613,"28,262",516.599
IN Wayne County,18177,-85.006735,39.863091,"68,917",404.341
IN Wells County,18179,-85.212974,40.735273,"27,636",370.248
IN White County,18181,-86.864293,40.75095,"24,643",508.680
IN Whitley County,18183,-85.501892,41.136426,"33,292",337.914
IA Adair County,19001,-94.478164,41.328528,"7,682",570.274
IA Adams County,19003,-94.696906,41.021656,"4,029",425.506
IA Allamakee County,19005,-91.382751,43.274964,"14,330",658.771
IA Appanoose County,19007,-92.870345,40.744683,"12,887",516.243
IA Audubon County,19009,-94.904312,41.679178,"6,119",443.406
IA Benton County,19011,-92.05763,42.092547,"26,076",718.489
IA Black Hawk County,19013,-92.306059,42.472888,"131,090",572.680
IA Boone County,19015,-93.939138,42.038601,"26,306",573.640
IA Bremer County,19017,-92.327586,42.78089,"24,276",439.404
IA Buchanan County,19019,-91.838666,42.470328,"20,958",573.116
IA Buena Vista County,19021,-95.141433,42.741522,"20,260",580.227
IA Butler County,19023,-92.780066,42.734708,"14,867",581.756
IA Calhoun County,19025,-94.643683,42.38617,"9,670",572.115
IA Carroll County,19027,-94.867647,42.039492,"20,816",570.265
IA Cass County,19029,-94.933302,41.333824,"13,956",564.948
IA Cedar County,19031,-91.13219,41.772355,"18,499",581.902
IA Cerro Gordo County,19033,-93.251266,43.075171,"44,151",575.119
IA Cherokee County,19035,-95.633262,42.742738,"12,072",577.069
IA Chickasaw County,19037,-92.31721,43.059741,"12,439",505.658
IA Clarke County,19039,-93.784096,41.029191,"9,286",431.756
IA Clay County,19041,-95.149726,43.079822,"16,667",572.592
IA Clayton County,19043,-91.323511,42.840998,"18,129",792.665
IA Clinton County,19045,-90.534243,41.898073,"49,116",710.175
IA Crawford County,19047,-95.38909,42.043119,"17,096",715.037
IA Dallas County,19049,-94.040707,41.685321,"66,135",591.699
IA Davis County,19051,-92.410345,40.748089,"8,753",504.854
IA Decatur County,19053,-93.78458,40.736379,"8,457",533.480
IA Delaware County,19055,-91.359443,42.473003,"17,764",578.946
IA Des Moines County,19057,-91.186925,40.915339,"40,325",429.750
IA Dickinson County,19059,-95.196057,43.389611,"16,667",403.962
IA Dubuque County,19061,-90.878771,42.463481,"93,653",616.633
IA Emmet County,19063,-94.66937,43.377984,"10,302",402.523
IA Fayette County,19065,-91.839373,42.86445,"20,880",731.326
IA Floyd County,19067,-92.787367,43.052741,"16,303",501.382
IA Franklin County,19069,-93.271425,42.736549,"10,680",582.524
IA Fremont County,19071,-95.599516,40.743726,"7,441",516.638
IA Greene County,19073,-94.388703,42.042494,"9,336",571.215
IA Grundy County,19075,-92.790261,42.403323,"12,453",501.894
IA Guthrie County,19077,-94.501272,41.683573,"10,954",593.074
IA Hamilton County,19079,-93.709198,42.390768,"15,673",577.510
IA Hancock County,19081,-93.743697,43.075411,"11,341",573.038
IA Hardin County,19083,-93.241081,42.389955,"17,534",569.992
IA Harrison County,19085,-95.827149,41.688584,"14,928",701.643
IA Henry County,19087,-91.54427,40.985864,"20,145",436.560
IA Howard County,19089,-92.321908,43.365313,"9,566",473.606
IA Humboldt County,19091,-94.202775,42.782221,"9,815",435.667
IA Ida County,19093,-95.507421,42.39186,"7,089",432.051
IA Iowa County,19095,-92.059123,41.683918,"16,355",587.494
IA Jackson County,19097,-90.574597,42.164281,"19,848",649.607
IA Jasper County,19099,-93.052971,41.685686,"36,842",732.955
IA Jefferson County,19101,-91.967137,41.00688,"16,843",436.876
IA Johnson County,19103,-91.588812,41.668737,"130,882",623.150
IA Jones County,19105,-91.116914,42.125118,"20,638",577.004
IA Keokuk County,19107,-92.167721,41.331182,"10,511",579.924
IA Kossuth County,19109,-94.213983,43.212478,"15,543",974.324
IA Lee County,19111,-91.477157,40.647588,"35,862",538.867
IA Linn County,19113,-91.597674,42.077951,"211,226",724.505
IA Louisa County,19115,-91.256994,41.218211,"11,387",417.518
IA Lucas County,19117,-93.331467,41.033344,"8,898",434.397
IA Lyon County,19119,-96.207201,43.38358,"11,581",587.779
IA Madison County,19121,-94.015184,41.330622,"15,679",562.158
IA Mahaska County,19123,-92.636366,41.330797,"22,381",573.398
IA Marion County,19125,-93.093849,41.331455,"33,309",570.509
IA Marshall County,19127,-92.981452,42.041691,"40,648",573.197
IA Mills County,19129,-95.619101,41.033703,"15,059",440.644
IA Mitchell County,19131,-92.784466,43.348564,"10,776",469.565
IA Monona County,19133,-95.956566,42.049432,"9,243",698.934
IA Monroe County,19135,-92.869642,41.028847,"7,970",434.303
IA Montgomery County,19137,-95.15779,41.021735,"10,740",425.028
IA Muscatine County,19139,-91.118699,41.483776,"42,745",449.129
IA O'Brien County,19141,-95.625624,43.083746,"14,398",573.208
IA Osceola County,19143,-95.633788,43.378542,"6,462",399.393
IA Page County,19145,-95.14429,40.73909,"15,932",535.467
IA Palo Alto County,19147,-94.667297,43.075854,"9,421",569.435
IA Plymouth County,19149,-96.215864,42.737585,"24,986",863.734
IA Pocahontas County,19151,-94.678279,42.734033,"7,310",578.657
IA Polk County,19153,-93.56972,41.684281,"430,640",591.535
IA Pottawattamie County,19155,-95.544905,41.340184,"93,158",959.132
IA Poweshiek County,19157,-92.522882,41.684526,"18,914",586.067
IA Ringgold County,19159,-94.244251,40.735334,"5,131",538.865
IA Sac County,19161,-95.105224,42.387526,"10,350",578.331
IA Scott County,19163,-90.62229,41.641679,"165,224",468.211
IA Shelby County,19165,-95.308917,41.679014,"12,167",591.353
IA Sioux County,19167,-96.177929,43.082854,"33,704",768.991
IA Story County,19169,-93.466093,42.037538,"89,542",573.649
IA Tama County,19171,-92.529412,42.074848,"17,767",722.080
IA Taylor County,19173,-94.697108,40.737949,"6,317",534.656
IA Union County,19175,-94.245091,41.02855,"12,534",425.798
IA Van Buren County,19177,-91.952943,40.754117,"7,570",490.519
IA Wapello County,19179,-92.409482,41.031263,"35,625",436.021
IA Warren County,19181,-93.564366,41.336769,"46,225",573.350
IA Washington County,19183,-91.725052,41.329401,"21,704",570.920
IA Wayne County,19185,-93.332613,40.739983,"6,403",527.152
IA Webster County,19187,-94.179157,42.434397,"38,013",718.429
IA Winnebago County,19189,-93.743488,43.378124,"10,866",401.718
IA Winneshiek County,19191,-91.850788,43.292989,"21,056",690.138
IA Woodbury County,19193,-96.053296,42.39322,"102,172",877.774
IA Worth County,19195,-93.248533,43.373491,"7,598",401.941
IA Wright County,19197,-93.734735,42.733007,"13,229",582.238
KS Allen County,20001,-95.300945,37.884229,"13,371",505.325
KS Anderson County,20003,-95.292046,38.215114,"8,102",583.734
KS Atchison County,20005,-95.313398,39.532544,"16,924",433.820
KS Barber County,20007,-98.685052,37.222906,"4,861","1,136.166"
KS Barton County,20009,-98.767837,38.481239,"27,674",900.634
KS Bourbon County,20011,-94.850928,37.8561,"15,173",639.092
KS Brown County,20013,-95.569905,39.825931,"9,984",572.106
KS Butler County,20015,-96.838762,37.773681,"65,880","1,446.527"
KS Chase County,20017,-96.594064,38.298553,"2,790",777.727
KS Chautauqua County,20019,-96.245396,37.154259,"3,669",644.767
KS Cherokee County,20021,-94.845698,37.169392,"21,603",591.023
KS Cheyenne County,20023,-101.727302,39.789256,"2,726","1,020.944"
KS Clark County,20025,-99.813869,37.233831,"2,215",977.182
KS Clay County,20027,-97.168853,39.344964,"8,535",655.600
KS Cloud County,20029,-97.64139,39.487329,"9,533",717.991
KS Coffey County,20031,-95.729137,38.23645,"8,601",654.094
KS Comanche County,20033,-99.254089,37.189071,"1,891",789.690
KS Cowley County,20035,-96.837247,37.234507,"36,311","1,132.426"
KS Crawford County,20037,-94.853941,37.505628,"39,134",595.011
KS Decatur County,20039,-100.459708,39.783542,"2,961",894.147
KS Dickinson County,20041,-97.157943,38.867735,"19,754",851.950
KS Doniphan County,20043,-95.147225,39.788502,"7,945",398.276
KS Douglas County,20045,-95.290529,38.896573,"110,826",474.637
KS Edwards County,20047,-99.304746,37.883595,"3,037",621.975
KS Elk County,20049,-96.244642,37.456026,"2,882",650.466
KS Ellis County,20051,-99.317329,38.914596,"28,452",900.374
KS Ellsworth County,20053,-98.205355,38.700845,"6,497",723.287
KS Finney County,20055,-100.739929,38.049855,"36,776","1,302.672"
KS Ford County,20057,-99.884734,37.688365,"33,848","1,099.081"
KS Franklin County,20059,-95.278962,38.558019,"25,992",577.137
KS Geary County,20061,-96.768038,39.002155,"34,362",404.485
KS Gove County,20063,-100.48736,38.917239,"2,695","1,071.760"
KS Graham County,20065,-99.880952,39.349445,"2,597",898.753
KS Grant County,20067,-101.299362,37.547537,"7,829",575.145
KS Gray County,20069,-100.451716,37.744513,"6,006",869.297
KS Greeley County,20071,-101.805984,38.480408,"1,247",778.450
KS Greenwood County,20073,-96.242232,37.878659,"6,689","1,152.627"
KS Hamilton County,20075,-101.793689,37.995244,"2,690",997.629
KS Harper County,20077,-98.06659,37.188184,"6,034",802.780
KS Harvey County,20079,-97.436707,38.050144,"34,684",540.722
KS Haskell County,20081,-100.876869,37.55855,"4,256",577.873
KS Hodgeman County,20083,-99.898407,38.087493,"1,916",860.311
KS Jackson County,20085,-95.794509,39.410989,"13,462",658.019
KS Jefferson County,20087,-95.375314,39.239644,"19,126",556.677
KS Jewell County,20089,-98.222584,39.77701,"3,077",914.360
KS Johnson County,20091,-94.82233,38.883907,"544,179",479.897
KS Kearny County,20093,-101.308136,37.994461,"3,977",870.981
KS Kingman County,20095,-98.144529,37.552951,"7,858",866.659
KS Kiowa County,20097,-99.286539,37.561231,"2,553",722.869
KS Labette County,20099,-95.297473,37.191468,"21,607",653.118
KS Lane County,20101,-100.466185,38.481286,"1,750",717.668
KS Leavenworth County,20103,-95.038977,39.189511,"76,227",468.972
KS Lincoln County,20105,-98.214265,39.047276,"3,241",720.457
KS Linn County,20107,-94.844932,38.216549,"9,656",606.396
KS Logan County,20109,-101.157407,38.91327,"2,756","1,073.100"
KS Lyon County,20111,-96.161589,38.455498,"33,690",855.417
KS Mcpherson County,20113,-97.647489,38.395812,"29,180",900.602
KS Marion County,20115,-97.102771,38.359647,"12,660",953.730
KS Marshall County,20117,-96.521243,39.782709,"10,117",905.107
KS Meade County,20119,-100.360094,37.243886,"4,575",979.346
KS Miami County,20121,-94.832963,38.566772,"32,787",590.256
KS Mitchell County,20123,-98.207362,39.393026,"6,373",719.159
KS Montgomery County,20125,-95.742403,37.189537,"35,471",651.481
KS Morris County,20127,-96.644905,38.687696,"5,923",702.889
KS Morton County,20129,-101.809516,37.18525,"3,233",729.927
KS Nemaha County,20131,-96.005381,39.791043,"10,178",719.438
KS Neosho County,20133,-95.315683,37.564283,"16,512",577.794
KS Ness County,20135,-99.908745,38.480437,"3,107","1,075.008"
KS Norton County,20137,-99.899235,39.783867,"5,671",881.298
KS Osage County,20139,-95.727275,38.649706,"16,295",719.845
KS Osborne County,20141,-98.767876,39.348649,"3,858",894.360
KS Ottawa County,20143,-97.654803,39.137963,"6,091",721.336
KS Pawnee County,20145,-99.232154,38.182873,"6,973",754.646
KS Phillips County,20147,-99.34215,39.784506,"5,642",894.562
KS Pottawatomie County,20149,-96.337113,39.382187,"21,604",861.911
KS Pratt County,20151,-98.74012,37.647594,"9,656",735.722
KS Rawlins County,20153,-101.076738,39.786198,"2,519","1,069.576"
KS Reno County,20155,-98.078346,37.948185,"64,511","1,272.110"
KS Republic County,20157,-97.650921,39.82891,"4,980",720.447
KS Rice County,20159,-98.201415,38.347178,"10,083",727.963
KS Riley County,20161,-96.727489,39.291211,"71,115",621.956
KS Rooks County,20163,-99.324492,39.346006,"5,181",895.152
KS Rush County,20165,-99.309183,38.523592,"3,307",717.973
KS Russell County,20167,-98.765638,38.916839,"6,970",899.436
KS Saline County,20169,-97.650153,38.786327,"55,606",721.310
KS Scott County,20171,-100.90636,38.481877,"4,936",717.662
KS Sedgwick County,20173,-97.459451,37.683807,"498,365","1,009.121"
KS Seward County,20175,-100.854741,37.180585,"22,952",640.486
KS Shawnee County,20177,-95.755664,39.041805,"177,934",555.726
KS Sheridan County,20179,-100.441206,39.350543,"2,556",896.207
KS Sherman County,20181,-101.719859,39.351352,"6,010","1,056.278"
KS Smith County,20183,-98.78543,39.78466,"3,853",896.965
KS Stafford County,20185,-98.719889,38.03563,"4,437",794.917
KS Stanton County,20187,-101.789383,37.565932,"2,235",680.415
KS Stevens County,20189,-101.315796,37.202356,"5,724",727.473
KS Sumner County,20191,-97.493349,37.236663,"24,132","1,184.955"
KS Thomas County,20193,-101.083439,39.357706,"7,900","1,074.798"
KS Trego County,20195,-99.865423,38.921302,"3,001",899.626
KS Wabaunsee County,20197,-96.201262,38.955154,"7,053",799.620
KS Wallace County,20199,-101.771103,38.926626,"1,485",913.706
KS Washington County,20201,-97.095611,39.776714,"5,799",898.671
KS Wichita County,20203,-101.347434,38.481922,"2,234",718.592
KS Wilson County,20205,-95.745175,37.558515,"9,409",575.073
KS Woodson County,20207,-95.757553,37.888484,"3,309",505.253
KS Wyandotte County,20209,-94.763087,39.115384,"157,505",156.193
KY Adair County,21001,-85.281401,37.105541,"18,656",412.400
KY Allen County,21003,-86.192458,36.75077,"19,956",351.864
KY Anderson County,21005,-84.986417,38.005396,"21,421",204.270
KY Ballard County,21007,-89.009178,37.05112,"8,249",273.690
KY Barren County,21009,-85.92499,36.963614,"42,173",499.999
KY Bath County,21011,-83.737641,38.152249,"11,591",284.004
KY Bell County,21013,-83.681046,36.72268,"28,691",361.116
KY Boone County,21015,-84.731444,38.974595,"118,811",256.464
KY Bourbon County,21017,-84.20986,38.202562,"19,985",291.592
KY Boyd County,21019,-82.681406,38.360004,"49,542",162.022
KY Boyle County,21021,-84.873016,37.6182,"28,432",182.662
KY Bracken County,21023,-84.100355,38.678523,"8,488",208.947
KY Breathitt County,21025,-83.322401,37.521178,"13,878",495.267
KY Breckinridge County,21027,-86.432829,37.778109,"20,059",585.621
KY Bullitt County,21029,-85.703036,37.969572,"74,319",300.265
KY Butler County,21031,-86.682471,37.207013,"12,690",431.473
KY Caldwell County,21033,-87.87051,37.148643,"12,984",348.151
KY Calloway County,21035,-88.274086,36.620978,"37,191",410.696
KY Campbell County,21037,-84.379583,38.946981,"90,336",159.420
KY Carlisle County,21039,-88.975757,36.857726,"5,104",198.980
KY Carroll County,21041,-85.124083,38.668284,"10,811",137.315
KY Carter County,21043,-83.048821,38.309555,"27,720",412.122
KY Casey County,21045,-84.92822,37.321962,"15,955",445.736
KY Christian County,21047,-87.493554,36.893388,"73,955",724.042
KY Clark County,21049,-84.144974,37.970133,"35,613",255.156
KY Clay County,21051,-83.710763,37.164466,"21,730",471.086
KY Clinton County,21053,-85.153499,36.729124,"10,272",205.418
KY Crittenden County,21055,-88.10501,37.358149,"9,315",371.141
KY Cumberland County,21057,-85.393499,36.784227,"6,856",310.908
KY Daviess County,21059,-87.087139,37.731671,"96,656",476.574
KY Edmonson County,21061,-86.217778,37.227856,"12,161",308.004
KY Elliott County,21063,-83.097541,38.116425,"7,852",235.323
KY Estill County,21065,-83.963927,37.69246,"14,672",255.610
KY Fayette County,21067,-84.458443,38.040157,"295,803",285.550
KY Fleming County,21069,-83.706152,38.368431,"14,348",351.316
KY Floyd County,21071,-82.740337,37.558283,"39,451",395.706
KY Franklin County,21073,-84.868786,38.234919,"49,285",212.009
KY Fulton County,21075,-89.187723,36.55262,"6,813",230.619
KY Gallatin County,21077,-84.862114,38.760184,"8,589",104.718
KY Garrard County,21079,-84.545856,37.630162,"16,912",233.945
KY Grant County,21081,-84.625946,38.64921,"24,662",260.766
KY Graves County,21083,-88.649897,36.723344,"37,121",556.788
KY Grayson County,21085,-86.344011,37.458577,"25,746",511.031
KY Green County,21087,-85.561403,37.269637,"11,258",288.789
KY Greenup County,21089,-82.933833,38.563596,"36,910",354.450
KY Hancock County,21091,-86.792773,37.843389,"8,565",198.886
KY Hardin County,21093,-85.963183,37.695836,"105,543",630.136
KY Harlan County,21095,-83.221497,36.859223,"29,278",468.151
KY Harrison County,21097,-84.332796,38.443489,"18,846",309.862
KY Hart County,21099,-85.881995,37.313856,"18,199",417.850
KY Henderson County,21101,-87.572577,37.792542,"46,250",466.280
KY Henry County,21103,-85.120079,38.451561,"15,416",291.123
KY Hickman County,21105,-88.97202,36.675916,"4,902",253.039
KY Hopkins County,21107,-87.542196,37.31107,"46,920",554.415
KY Jackson County,21109,-84.020686,37.40332,"13,494",346.513
KY Jefferson County,21111,-85.657624,38.189533,"741,096",397.682
KY Jessamine County,21113,-84.58396,37.873291,"48,586",174.501
KY Johnson County,21115,-82.830639,37.84926,"23,356",264.135
KY Kenton County,21117,-84.533492,38.930477,"159,720",164.347
KY Knott County,21119,-82.949138,37.354703,"16,346",352.852
KY Knox County,21121,-83.85563,36.887476,"31,883",387.748
KY Larue County,21123,-85.697209,37.545518,"14,193",263.628
KY Laurel County,21125,-84.119395,37.113268,"58,849",443.695
KY Lawrence County,21127,-82.738305,38.074459,"15,860",420.068
KY Lee County,21129,-83.718497,37.605383,"7,887",211.257
KY Leslie County,21131,-83.388616,37.087846,"11,310",404.447
KY Letcher County,21133,-82.861175,37.118503,"24,519",339.033
KY Lewis County,21135,-83.373303,38.532051,"13,870",495.382
KY Lincoln County,21137,-84.658074,37.457257,"24,742",336.576
KY Livingston County,21139,-88.363426,37.209517,"9,519",342.334
KY Logan County,21141,-86.881436,36.859829,"26,835",557.030
KY Lyon County,21143,-88.083391,37.023976,"8,314",256.528
KY Mccracken County,21145,-88.712378,37.053688,"65,565",268.171
KY Mccreary County,21147,-84.491052,36.731136,"18,306",430.947
KY Mclean County,21149,-87.262931,37.530575,"9,531",256.233
KY Madison County,21151,-84.277008,37.723528,"82,916",443.257
KY Magoffin County,21153,-83.069716,37.698954,"13,333",309.158
KY Marion County,21155,-85.269242,37.552247,"19,820",346.858
KY Marshall County,21157,-88.332752,36.882017,"31,448",340.171
KY Martin County,21159,-82.506623,37.796774,"12,929",230.599
KY Mason County,21161,-83.828052,38.594068,"17,490",246.413
KY Meade County,21163,-86.200863,37.967476,"28,602",324.502
KY Menifee County,21165,-83.597345,37.950715,"6,306",205.934
KY Mercer County,21167,-84.879695,37.812085,"21,331",253.311
KY Metcalfe County,21169,-85.629554,36.990394,"10,099",291.189
KY Monroe County,21171,-85.713508,36.714077,"10,963",332.056
KY Montgomery County,21173,-83.912338,38.038138,"26,499",198.857
KY Morgan County,21175,-83.258944,37.92294,"13,923",383.788
KY Muhlenberg County,21177,-87.134092,37.213816,"31,499",479.400
KY Nelson County,21179,-85.465955,37.803188,"43,437",424.076
KY Nicholas County,21181,-84.025554,38.337132,"7,135",196.834
KY Ohio County,21183,-86.844871,37.477859,"23,842",596.227
KY Oldham County,21185,-85.456059,38.400046,"60,316",196.434
KY Owen County,21187,-84.841509,38.499603,"10,841",354.247
KY Owsley County,21189,-83.691566,37.423452,"4,755",198.290
KY Pendleton County,21191,-84.354041,38.690765,"14,877",281.918
KY Perry County,21193,-83.217772,37.241282,"28,712",342.610
KY Pike County,21195,-82.402869,37.482067,"65,024",788.670
KY Powell County,21197,-83.826985,37.810379,"12,613",180.121
KY Pulaski County,21199,-84.579986,37.108312,"63,063",677.154
KY Robertson County,21201,-84.063757,38.513826,"2,282",100.098
KY Rockcastle County,21203,-84.314419,37.36122,"17,056",318.096
KY Rowan County,21205,-83.425969,38.205894,"23,333",286.266
KY Russell County,21207,-85.058976,36.989127,"17,565",282.875
KY Scott County,21209,-84.579376,38.289882,"47,173",285.433
KY Shelby County,21211,-85.22836,38.239426,"42,074",385.671
KY Simpson County,21213,-86.581464,36.740863,"17,327",236.466
KY Spencer County,21215,-85.321525,38.026976,"17,061",191.657
KY Taylor County,21217,-85.326698,37.365106,"24,512",276.817
KY Todd County,21219,-87.183642,36.840338,"12,460",377.056
KY Trigg County,21221,-87.858652,36.807681,"14,339",481.329
KY Trimble County,21223,-85.355171,38.618193,"8,809",156.217
KY Union County,21225,-87.95165,37.658029,"15,007",363.377
KY Warren County,21227,-86.423579,36.995634,"113,792",547.564
KY Washington County,21229,-85.175416,37.754209,"11,717",301.201
KY Wayne County,21231,-84.83044,36.802011,"20,813",484.161
KY Webster County,21233,-87.685095,37.520021,"13,621",335.655
KY Whitley County,21235,-84.14455,36.758021,"35,637",445.119
KY Wolfe County,21237,-83.495068,37.743774,"7,355",222.752
KY Woodford County,21239,-84.748147,38.042789,"24,939",192.036
LA Acadia County,22001,-92.411037,30.291497,"61,773",657.454
LA Allen County,22003,-92.819605,30.652744,"25,764",765.954
LA Ascension County,22005,-90.910023,30.202946,"107,215",302.786
LA Assumption County,22007,-91.050528,29.899884,"23,421",364.530
LA Avoyelles County,22009,-91.993798,31.085094,"42,073",865.744
LA Beauregard County,22011,-93.340253,30.645018,"35,654","1,165.836"
LA Bienville County,22013,-93.061513,32.344268,"14,353",822.070
LA Bossier County,22015,-93.617977,32.696202,"116,979",867.220
LA Caddo County,22017,-93.882423,32.577195,"254,969",936.824
LA Calcasieu County,22019,-93.358015,30.229559,"192,768","1,094.274"
LA Caldwell County,22021,-92.11418,32.101244,"10,132",540.729
LA Cameron County,22023,-93.165437,29.871989,"6,839","1,936.669"
LA Catahoula County,22025,-91.846703,31.666517,"10,407",739.421
LA Claiborne County,22027,-92.991125,32.827585,"17,195",767.416
LA Concordia County,22029,-91.626314,31.469806,"20,822",747.302
LA De Soto County,22031,-93.740797,32.059248,"26,656",894.588
LA East Baton Rouge County,22033,-91.093174,30.544002,"440,171",470.235
LA East Carroll County,22035,-91.234141,32.73017,"7,759",442.432
LA East Feliciana County,22037,-91.043434,30.839784,"20,267",455.778
LA Evangeline County,22039,-92.404086,30.720693,"33,984",679.624
LA Franklin County,22041,-91.672101,32.138279,"20,767",635.438
LA Grant County,22043,-92.561716,31.597787,"22,309",664.653
LA Iberia County,22045,-91.842706,29.606013,"73,240","1,030.528"
LA Iberville County,22047,-91.36315,30.288394,"33,387",652.858
LA Jackson County,22049,-92.556672,32.30448,"16,274",580.277
LA Jefferson County,22051,-90.036231,29.5033,"432,552",665.423
LA Jefferson Davis County,22053,-92.816221,30.269529,"31,594",658.555
LA Lafayette County,22055,-92.06417,30.206507,"221,578",269.209
LA Lafourche County,22057,-90.394849,29.491993,"96,318","1,474.307"
LA La Salle County,22059,-92.161809,31.680836,"14,890",662.394
LA Lincoln County,22061,-92.662082,32.601148,"46,735",472.475
LA Livingston County,22063,-90.727474,30.440419,"128,026",702.847
LA Madison County,22065,-91.240729,32.365824,"12,093",650.900
LA Morehouse County,22067,-91.800399,32.820008,"27,979",806.084
LA Natchitoches County,22069,-93.086106,31.734982,"39,566","1,298.993"
LA Orleans County,22071,-89.939007,30.068636,"343,829",350.212
LA Ouachita County,22073,-92.154798,32.477495,"153,720",631.750
LA Plaquemines County,22075,-89.298489,29.402337,"23,042","2,567.198"
LA Pointe Coupee County,22077,-91.604621,30.708319,"22,802",590.712
LA Rapides County,22079,-92.535953,31.193204,"131,613","1,361.657"
LA Red River County,22081,-93.34905,32.101213,"9,091",402.344
LA Richland County,22083,-91.758375,32.418121,"20,725",564.516
LA Sabine County,22085,-93.559228,31.560209,"24,233","1,011.619"
LA Saint Bernard County,22087,-89.263494,29.91811,"35,897","2,158.072"
LA Saint Charles County,22089,-90.359314,29.913833,"52,780",410.629
LA Saint Helena County,22091,-90.70935,30.821423,"11,203",409.488
LA Saint James County,22093,-90.793956,30.02482,"22,102",257.959
LA Saint John The Baptist County,22095,-90.504677,30.117471,"45,924",347.637
LA Saint Landry County,22097,-91.989275,30.583441,"83,384",938.981
LA Saint Martin County,22099,-91.611481,30.121433,"52,160",816.490
LA Saint Mary County,22101,-91.463804,29.629349,"54,650","1,119.423"
LA Saint Tammany County,22103,-89.951962,30.410022,"233,740","1,124.189"
LA Tangipahoa County,22105,-90.406633,30.621581,"121,097",823.269
LA Tensas County,22107,-91.342576,32.001489,"5,252",641.190
LA Terrebonne County,22109,-90.844191,29.333266,"111,860","2,082.073"
LA Union County,22111,-92.37565,32.829349,"22,721",905.403
LA Vermilion County,22113,-92.29009,29.786872,"57,999","1,542.069"
LA Vernon County,22115,-93.18152,31.110563,"52,334","1,341.485"
LA Washington County,22117,-90.046253,30.852144,"47,168",675.885
LA Webster County,22119,-93.339825,32.732152,"41,207",614.840
LA West Baton Rouge County,22121,-91.309808,30.464052,"23,788",203.823
LA West Carroll County,22123,-91.451998,32.79248,"11,604",360.567
LA West Feliciana County,22125,-91.421008,30.872701,"15,625",426.003
LA Winn County,22127,-92.641269,31.941187,"15,313",956.823
ME Androscoggin County,23001,-70.207435,44.167681,"107,702",497.120
ME Aroostook County,23003,-68.64941,46.727057,"71,870","6,827.568"
ME Cumberland County,23005,-70.330375,43.808348,"281,674","1,217.463"
ME Franklin County,23007,-70.444727,44.973012,"30,768","1,743.479"
ME Hancock County,23009,-68.370703,44.564906,"54,418","2,344.936"
ME Kennebec County,23011,-69.765764,44.417012,"122,151",951.174
ME Knox County,23013,-69.038515,44.042045,"39,736","1,143.946"
ME Lincoln County,23015,-69.514029,43.994265,"34,457",699.603
ME Oxford County,23017,-70.734688,44.494585,"57,833","2,175.716"
ME Penobscot County,23019,-68.657487,45.390602,"153,923","3,557.081"
ME Piscataquis County,23021,-69.104548,45.917678,"17,535","4,377.966"
ME Sagadahoc County,23023,-69.843994,43.916694,"35,293",370.040
ME Somerset County,23025,-69.97604,45.507482,"52,228","4,093.531"
